Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,Yes,0,Graduate,No,3366,2200.0,135,360,1,Rural,N
Male,Yes,1,Graduate,No,8080,2250.0,180,360,1,Urban,Y
Male,Yes,2,Not Graduate,No,3357,2859.0,144,360,1,Urban,Y
Male,Yes,0,Graduate,No,2500,3796.0,120,360,1,Urban,Y
Male,Yes,3+,Graduate,No,3029,0.0,99,360,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,2609,3449.0,165,180,0,Rural,N
Female,No,0,Graduate,No,4166,0.0,116,360,0,Semiurban,N
Male,Yes,0,Graduate,No,5726,4595.0,258,360,1,Semiurban,N
Male,No,0,Not Graduate,No,3200,2254.0,126,180,0,Urban,N
Male,Yes,1,Graduate,No,10750,0.0,312,360,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,7100,0.0,125,60,1,Urban,Y
Female,No,0,Graduate,No,4300,0.0,136,360,0,Semiurban,N
Male,Yes,0,Graduate,No,3208,3066.0,172,360,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban,Y
Male,No,0,Graduate,No,3500,0.0,81,300,1,Semiurban,Y
Male,Yes,3+,Graduate,Yes,5266,1774.0,187,360,1,Semiurban,Y
Male,No,0,Graduate,No,3750,0.0,113,480,1,Urban,N
Male,No,0,Graduate,No,3750,4750.0,176,360,1,Urban,N
Male,Yes,1,Graduate,Yes,1000,3022.0,110,360,1,Urban,N
Male,Yes,3+,Graduate,No,3167,4000.0,180,300,0,Semiurban,N
Female,No,0,Graduate,No,3846,0.0,111,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,1378,1881.0,167,360,1,Urban,N
Male,Yes,1,Graduate,No,3988,0.0,50,240,1,Urban,Y
Male,No,0,Graduate,No,2366,2531.0,136,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2500,2118.0,104,360,1,Semiurban,Y
Male,No,0,Graduate,No,8566,0.0,210,360,1,Urban,Y
Male,Yes,0,Graduate,No,5695,4167.0,175,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2958,2900.0,131,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,6250,5654.0,188,180,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3273,1820.0,81,360,1,Urban,Y
Male,No,0,Graduate,No,4133,0.0,122,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,3620,0.0,25,120,1,Semiurban,Y
Female,Yes,0,Graduate,No,2484,2302.0,137,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,4188,0.0,115,180,1,Semiurban,Y
Male,Yes,0,Graduate,No,1759,3541.0,131,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,4288,3263.0,133,180,1,Urban,Y
Male,No,0,Graduate,No,4843,3806.0,151,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,3052,1030.0,100,360,1,Urban,Y
Male,Yes,2,Graduate,No,11417,1126.0,225,360,1,Urban,Y
Male,Yes,2,Graduate,No,3800,3600.0,216,360,0,Urban,N
Male,Yes,3+,Not Graduate,No,2071,754.0,94,480,1,Semiurban,Y
Male,No,0,Graduate,No,5316,0.0,136,360,1,Urban,Y
Male,Yes,1,Graduate,No,14583,0.0,185,180,1,Rural,Y
Female,Yes,0,Graduate,No,3167,2283.0,154,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,5568,2142.0,175,360,1,Rural,N
Female,No,0,Graduate,No,10408,0.0,259,360,1,Urban,Y
Female,No,0,Graduate,No,4166,0.0,44,360,1,Semiurban,Y
Female,No,0,Graduate,No,2137,8980.0,137,360,0,Semiurban,Y
Male,Yes,2,Graduate,No,2957,0.0,81,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,4300,2014.0,194,360,1,Rural,Y
Male,Yes,1,Graduate,Yes,10513,3850.0,160,180,0,Urban,N
Male,No,0,Graduate,No,2014,1929.0,74,360,1,Urban,Y
Male,No,0,Graduate,No,2718,0.0,70,360,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,3459,0.0,25,120,1,Semiurban,Y
Male,No,0,Graduate,No,4895,0.0,102,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,4000,7750.0,290,360,1,Semiurban,N
Female,Yes,0,Graduate,No,4583,0.0,84,360,1,Rural,N
Male,Yes,2,Graduate,Yes,3316,3500.0,88,360,1,Urban,Y
Male,No,0,Graduate,No,14999,0.0,242,360,0,Semiurban,N
Male,Yes,2,Not Graduate,No,4200,1430.0,129,360,1,Rural,N
Male,Yes,2,Graduate,No,5042,2083.0,185,360,1,Rural,N
Male,No,0,Graduate,No,5417,0.0,168,360,1,Urban,Y
Male,No,0,Graduate,Yes,6950,0.0,175,180,1,Semiurban,Y
Male,Yes,0,Graduate,No,2698,2034.0,122,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,11757,0.0,187,180,1,Urban,Y
Female,Yes,0,Graduate,No,2330,4486.0,100,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,14866,0.0,70,360,1,Urban,Y
Male,Yes,1,Graduate,No,1538,1425.0,30,360,1,Urban,Y
Female,No,0,Graduate,No,10000,1666.0,225,360,1,Rural,N
Male,Yes,0,Graduate,No,4860,830.0,125,360,1,Semiurban,Y
Male,No,0,Graduate,No,6277,0.0,118,360,0,Rural,N
Male,Yes,0,Graduate,Yes,2577,3750.0,152,360,1,Rural,Y
Male,No,0,Graduate,No,9166,0.0,244,360,1,Urban,N
Male,Yes,2,Not Graduate,No,2281,0.0,113,360,1,Rural,N
Male,No,0,Graduate,No,3254,0.0,50,360,1,Urban,Y
Male,Yes,3+,Graduate,No,39999,0.0,600,180,0,Semiurban,Y
Male,Yes,1,Graduate,No,9538,0.0,187,360,1,Urban,Y
Male,Yes,0,Graduate,No,4583,5625.0,255,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,1863,1041.0,98,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,7933,0.0,275,360,1,Urban,N
Male,Yes,1,Graduate,No,3089,1280.0,121,360,0,Semiurban,N
Male,Yes,2,Graduate,No,4167,1447.0,158,360,1,Rural,Y
Male,Yes,0,Graduate,No,9323,0.0,75,180,1,Urban,Y
Female,Yes,0,Graduate,No,4583,0.0,112,360,1,Rural,N
Male,Yes,0,Graduate,No,2439,3333.0,129,360,1,Rural,Y
Male,No,0,Graduate,No,2237,0.0,63,480,0,Semiurban,N
Male,Yes,2,Graduate,No,8000,0.0,200,360,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,3522,0.0,81,180,1,Rural,N
Male,Yes,0,Graduate,No,5708,5625.0,187,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,4344,736.0,87,360,1,Semiurban,N
Male,Yes,0,Graduate,No,3497,1964.0,116,360,1,Rural,Y
Male,Yes,2,Graduate,No,2045,1619.0,101,360,1,Rural,Y
Male,Yes,3+,Graduate,No,5516,11300.0,495,360,0,Semiurban,N
Male,Yes,1,Graduate,No,3750,0.0,116,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,2333,1451.0,102,480,0,Urban,N
Male,Yes,1,Graduate,No,6400,7250.0,180,360,0,Urban,N
Male,Yes,0,Graduate,No,4600,0.0,73,180,1,Semiurban,Y
Male,Yes,1,Graduate,No,33846,0.0,260,360,1,Semiurban,N
Female,Yes,0,Graduate,No,3625,0.0,108,360,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,39147,4750.0,120,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,2178,0.0,66,300,0,Rural,N
Male,Yes,0,Graduate,No,9328,0.0,188,180,1,Rural,Y
Male,No,0,Not Graduate,No,4885,0.0,48,360,1,Rural,Y
Male,No,0,Graduate,No,12000,0.0,164,360,1,Semiurban,N
Male,Yes,0,Not Graduate,No,6033,0.0,160,360,1,Urban,N
Male,No,0,Graduate,No,3858,0.0,76,360,1,Semiurban,Y
Male,No,0,Graduate,No,4191,0.0,120,360,1,Rural,Y
Male,Yes,1,Graduate,No,3125,2583.0,170,360,1,Semiurban,N
Male,No,0,Graduate,No,8333,3750.0,187,360,1,Rural,Y
Male,No,0,Graduate,Yes,11000,0.0,83,360,1,Urban,N
Male,Yes,1,Not Graduate,No,2600,2500.0,90,360,1,Semiurban,Y
Male,No,2,Graduate,No,4923,0.0,166,360,0,Semiurban,Y
Male,Yes,1,Not Graduate,No,3500,1083.0,135,360,1,Urban,Y
Male,Yes,2,Not Graduate,No,3917,0.0,124,360,1,Semiurban,Y
Female,No,0,Not Graduate,No,4408,0.0,120,360,1,Semiurban,Y
Female,No,0,Graduate,No,3244,0.0,80,360,1,Urban,Y
Male,No,0,Not Graduate,No,3975,2531.0,55,360,1,Rural,Y
Male,No,0,Graduate,No,2479,0.0,59,360,1,Urban,Y
Male,No,0,Graduate,No,3418,0.0,127,360,1,Semiurban,N
Female,No,0,Graduate,No,10000,0.0,214,360,1,Semiurban,N
Male,Yes,3+,Graduate,No,3430,1250.0,128,360,0,Semiurban,N
Male,Yes,1,Graduate,Yes,7787,0.0,240,360,1,Urban,Y
Male,Yes,3+,Not Graduate,Yes,5703,0.0,130,360,1,Rural,Y
Male,Yes,0,Graduate,No,3173,3021.0,137,360,1,Urban,Y
Male,Yes,3+,Not Graduate,No,3850,983.0,100,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,150,1800.0,135,360,1,Rural,N
Male,Yes,0,Graduate,No,3727,1775.0,131,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2221,0.0,60,360,0,Urban,N
Male,Yes,2,Graduate,No,4009,1717.0,116,360,1,Semiurban,Y
Male,No,0,Graduate,No,2971,2791.0,144,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,6250,0.0,128,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3250,0.0,170,360,1,Rural,N
Male,Yes,2,Graduate,No,6250,1695.0,210,360,1,Semiurban,Y
Male,No,0,Graduate,Yes,6400,0.0,200,360,1,Rural,Y
Male,Yes,1,Graduate,No,2491,2054.0,104,360,1,Semiurban,Y
Female,No,0,Graduate,No,8333,0.0,280,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,3155,1779.0,140,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,5500,1260.0,170,360,1,Rural,Y
Female,No,1,Graduate,No,3812,0.0,112,360,1,Rural,Y
Male,Yes,1,Graduate,No,3315,0.0,96,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,5819,5000.0,120,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,2510,1983.0,140,180,1,Urban,N
Male,No,0,Graduate,No,2965,5701.0,155,60,1,Urban,Y
Male,Yes,2,Graduate,Yes,6250,1300.0,108,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,3406,4417.0,123,360,1,Semiurban,Y
Male,No,0,Graduate,Yes,6050,4333.0,120,180,1,Urban,N
Male,Yes,2,Graduate,No,9703,0.0,112,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,6608,0.0,137,180,1,Urban,Y
Male,Yes,1,Graduate,No,2882,1843.0,123,480,1,Semiurban,Y
Male,Yes,0,Graduate,No,1809,1868.0,90,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,1668,3890.0,201,360,0,Semiurban,N
Female,No,2,Graduate,No,3427,0.0,138,360,1,Urban,N
Male,No,0,Not Graduate,Yes,2583,2167.0,104,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,2661,7101.0,279,180,1,Semiurban,Y
Male,No,0,Graduate,Yes,16250,0.0,192,360,0,Urban,N
Female,No,3+,Graduate,No,3083,0.0,255,360,1,Rural,Y
Male,No,0,Not Graduate,No,6045,0.0,115,360,0,Rural,N
Male,Yes,3+,Graduate,No,5250,0.0,94,360,1,Urban,N
Male,Yes,0,Graduate,No,14683,2100.0,304,360,1,Rural,N
Male,No,0,Graduate,No,2060,2209.0,134,360,1,Semiurban,Y
Female,No,1,Graduate,No,3481,0.0,155,36,1,Semiurban,N
Female,No,0,Graduate,No,7200,0.0,120,360,1,Rural,Y
Male,No,0,Graduate,Yes,5166,0.0,128,360,1,Semiurban,Y
Male,No,0,Graduate,No,4095,3447.0,151,360,1,Rural,Y
Male,Yes,2,Graduate,No,4708,1387.0,150,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,4333,1811.0,160,360,0,Urban,Y
Female,No,1,Graduate,No,2876,1560.0,90,360,1,Urban,Y
Female,No,0,Graduate,No,3237,0.0,30,360,1,Urban,Y
Male,Yes,0,Graduate,No,11146,0.0,136,360,1,Urban,Y
Male,No,0,Graduate,No,2833,1857.0,126,360,1,Rural,Y
Male,Yes,0,Graduate,No,2620,2223.0,150,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,3900,0.0,90,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,2750,1842.0,115,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3993,3274.0,207,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,3103,1300.0,80,360,1,Urban,Y
Male,Yes,0,Graduate,No,14583,0.0,436,360,1,Semiurban,Y
Male,No,1,Not Graduate,Yes,4053,2426.0,158,360,0,Urban,N
Male,Yes,0,Graduate,No,3927,800.0,112,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Y
Female,No,0,Graduate,No,1811,1666.0,54,360,1,Urban,Y
Male,No,0,Graduate,No,3158,3053.0,89,360,1,Rural,Y
Female,No,0,Graduate,Yes,2600,1717.0,99,300,1,Semiurban,N
Male,Yes,0,Graduate,No,3704,2000.0,120,360,1,Rural,Y
Female,No,0,Graduate,No,4124,0.0,115,360,1,Semiurban,Y
Male,No,0,Graduate,No,9508,0.0,187,360,1,Rural,Y
Male,Yes,0,Graduate,No,3075,2416.0,139,360,1,Rural,Y
Male,Yes,2,Graduate,No,4400,0.0,127,360,0,Semiurban,N
Male,Yes,2,Graduate,No,3153,1560.0,134,360,1,Urban,Y
Male,Yes,0,Graduate,No,2383,3334.0,172,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,6875,0.0,200,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,4666,0.0,135,360,1,Urban,Y
Female,No,0,Graduate,No,5000,2541.0,151,480,1,Rural,N
Male,Yes,1,Graduate,No,2014,2925.0,113,360,1,Urban,N
Male,Yes,0,Not Graduate,No,1800,2934.0,93,360,0,Urban,N
Female,No,0,Graduate,No,5000,0.0,132,360,1,Rural,Y
Male,Yes,1,Graduate,No,1625,1803.0,96,360,1,Urban,Y
Male,No,0,Graduate,No,4000,2500.0,140,360,1,Rural,Y
Female,No,0,Graduate,No,3762,1666.0,135,360,1,Rural,Y
Female,No,0,Graduate,No,2400,1863.0,104,360,0,Urban,N
Male,No,0,Graduate,No,20233,0.0,480,360,1,Rural,N
Female,No,0,Graduate,No,2917,0.0,84,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,2927,2405.0,111,360,1,Semiurban,Y
Female,No,0,Graduate,No,2507,0.0,56,360,1,Rural,Y
Male,Yes,1,Not Graduate,No,3399,1640.0,111,180,1,Urban,Y
Male,Yes,2,Graduate,No,3717,0.0,120,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,10000,0.0,155,360,1,Rural,N
Male,Yes,0,Graduate,No,2400,2167.0,115,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,4342,189.0,124,360,1,Semiurban,Y
Male,Yes,3+,Graduate,No,15000,0.0,300,360,1,Rural,Y
Male,Yes,1,Graduate,Yes,8666,4983.0,376,360,0,Rural,N
Male,No,0,Graduate,No,4917,0.0,130,360,0,Rural,Y
Male,Yes,0,Graduate,Yes,5818,2160.0,184,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N
Female,No,0,Graduate,No,2500,0.0,67,360,1,Urban,Y
Male,No,1,Graduate,No,4384,1793.0,117,360,1,Urban,Y
Male,No,0,Graduate,No,2935,0.0,98,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,2500,4600.0,176,360,1,Rural,Y
Female,No,0,Graduate,No,4160,0.0,71,360,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,2647,1587.0,173,360,1,Rural,N
Female,No,0,Graduate,No,2378,0.0,46,360,1,Rural,N
Male,Yes,1,Not Graduate,No,4554,1229.0,158,360,1,Urban,Y
Male,Yes,3+,Not Graduate,No,3173,0.0,74,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2499,2458.0,160,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,3083,2168.0,126,360,1,Urban,Y
Male,Yes,0,Graduate,No,2625,6250.0,187,360,1,Rural,Y
Male,Yes,0,Graduate,No,9083,0.0,228,360,1,Semiurban,Y
Male,No,0,Graduate,No,8750,4167.0,308,360,1,Rural,N
Male,Yes,3+,Graduate,No,2666,2083.0,95,360,1,Rural,Y
Female,Yes,0,Graduate,Yes,5500,0.0,105,360,0,Rural,N
Female,Yes,0,Graduate,No,2423,505.0,130,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,8333,3167.0,165,360,1,Rural,Y
Male,Yes,1,Graduate,No,3875,0.0,67,360,1,Urban,N
Male,Yes,0,Not Graduate,No,3000,1666.0,100,480,0,Urban,N
Male,Yes,3+,Graduate,No,5167,3167.0,200,360,1,Semiurban,Y
Female,No,1,Graduate,No,4723,0.0,81,360,1,Semiurban,N
Male,Yes,2,Graduate,No,5000,3667.0,236,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,4750,2333.0,130,360,1,Urban,Y
Male,No,0,Graduate,Yes,6822,0.0,141,360,1,Rural,Y
Male,No,0,Not Graduate,No,6216,0.0,133,360,1,Rural,N
Male,No,0,Graduate,No,2500,0.0,96,480,1,Semiurban,N
Male,Yes,1,Graduate,No,6325,0.0,175,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,19730,5266.0,570,360,1,Rural,N
Female,No,0,Graduate,Yes,15759,0.0,55,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,5185,0.0,155,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,9323,7873.0,380,300,1,Rural,Y
Male,No,1,Graduate,No,3062,1987.0,111,180,0,Urban,N
Male,Yes,0,Graduate,No,4817,923.0,120,180,1,Urban,Y
Male,Yes,3+,Graduate,No,8750,4996.0,130,360,1,Rural,Y
Male,No,0,Graduate,No,3069,0.0,71,480,1,Urban,N
Male,Yes,2,Graduate,No,5391,0.0,130,360,1,Urban,Y
Male,No,0,Graduate,No,5941,4232.0,296,360,1,Semiurban,Y
Female,No,0,Graduate,No,6000,0.0,156,360,1,Urban,Y
Male,No,0,Graduate,Yes,7167,0.0,128,360,1,Urban,Y
Male,Yes,2,Graduate,No,4566,0.0,100,360,1,Urban,N
Male,No,0,Not Graduate,No,2346,1600.0,132,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2333,2417.0,136,360,1,Urban,Y
Male,Yes,0,Graduate,No,5488,0.0,125,360,1,Rural,Y
Male,No,3+,Graduate,No,9167,0.0,185,360,1,Rural,Y
Male,Yes,3+,Graduate,No,9504,0.0,275,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,1993,1625.0,113,180,1,Semiurban,Y
Male,Yes,2,Graduate,No,3100,1400.0,113,360,1,Urban,Y
Female,No,0,Graduate,No,3180,0.0,71,360,0,Urban,N
Male,Yes,0,Graduate,No,3033,1459.0,95,360,1,Urban,Y
Male,No,0,Not Graduate,No,3902,1666.0,109,360,1,Rural,Y
Female,No,0,Graduate,No,1500,1800.0,103,360,0,Semiurban,N
Male,Yes,2,Not Graduate,No,2889,0.0,45,180,0,Urban,N
Male,No,0,Not Graduate,No,2755,0.0,65,300,1,Rural,N
Male,No,0,Graduate,No,2500,20000.0,103,360,1,Semiurban,Y
Female,No,0,Not Graduate,No,1963,0.0,53,360,1,Semiurban,Y
Female,No,0,Graduate,Yes,7441,0.0,194,360,1,Rural,N
Female,No,0,Graduate,No,4547,0.0,115,360,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,2167,2400.0,115,360,1,Urban,Y
Female,No,0,Not Graduate,No,2213,0.0,66,360,1,Rural,Y
Male,Yes,1,Graduate,No,8300,0.0,152,300,0,Semiurban,N
Male,Yes,3+,Graduate,No,81000,0.0,360,360,0,Rural,N
Female,No,1,Not Graduate,Yes,3867,0.0,62,360,1,Semiurban,N
Male,Yes,0,Not Graduate,No,6096,0.0,218,360,0,Rural,N
Male,Yes,0,Not Graduate,No,2253,2033.0,110,360,1,Rural,Y
Female,Yes,0,Not Graduate,No,2149,3237.0,178,360,0,Semiurban,N
Female,No,0,Graduate,No,2995,0.0,60,360,1,Urban,Y
Female,No,1,Graduate,No,2600,0.0,160,360,1,Urban,N
Male,Yes,2,Graduate,Yes,1600,20000.0,239,360,1,Urban,N
Male,Yes,0,Graduate,No,1025,2773.0,112,360,1,Rural,Y
Male,Yes,0,Graduate,No,3246,1417.0,138,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,5829,0.0,138,360,1,Rural,Y
Male,Yes,0,Graduate,No,1820,1719.0,100,360,1,Urban,Y
Male,Yes,0,Graduate,No,14880,0.0,96,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2666,4300.0,121,360,1,Rural,Y
Female,No,1,Not Graduate,No,4606,0.0,81,360,1,Rural,N
Male,Yes,2,Graduate,No,5935,0.0,133,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Y
Male,No,0,Not Graduate,No,2717,0.0,60,180,1,Urban,Y
Female,No,1,Graduate,Yes,8624,0.0,150,360,1,Semiurban,Y
Male,No,0,Graduate,No,6500,0.0,105,360,0,Rural,N
Male,Yes,0,Graduate,No,2425,2340.0,143,360,1,Semiurban,Y
Male,No,0,Graduate,No,3750,0.0,100,360,1,Urban,Y
Male,No,0,Graduate,No,1926,1851.0,50,360,1,Semiurban,Y
Male,No,0,Graduate,Yes,10416,0.0,187,360,0,Urban,N
Female,Yes,0,Not Graduate,Yes,7142,0.0,138,360,1,Rural,Y
Male,No,0,Graduate,No,3660,5064.0,187,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,7901,1833.0,180,360,1,Rural,Y
Male,No,3+,Not Graduate,No,4707,1993.0,148,360,1,Semiurban,Y
Male,No,1,Graduate,No,37719,0.0,152,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,3466,1210.0,130,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,4652,0.0,110,360,1,Rural,Y
Male,Yes,2,Graduate,No,3340,1710.0,150,360,0,Rural,N
Male,Yes,2,Not Graduate,No,2309,1255.0,125,360,0,Rural,N
Male,Yes,0,Graduate,No,3948,1733.0,149,360,0,Rural,N
Male,Yes,0,Graduate,No,2483,2466.0,90,180,0,Rural,Y
Male,No,0,Graduate,Yes,7085,0.0,84,360,1,Semiurban,Y
Male,Yes,2,Graduate,No,3859,0.0,96,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,4301,0.0,118,360,1,Urban,Y
Male,Yes,0,Graduate,No,3708,2569.0,173,360,1,Urban,N
Male,No,2,Graduate,No,4354,0.0,136,360,1,Rural,Y
Male,Yes,0,Graduate,No,8334,0.0,160,360,1,Semiurban,N
Male,Yes,3+,Graduate,No,7740,0.0,128,180,1,Urban,Y
Male,Yes,0,Graduate,No,3015,2188.0,153,360,1,Rural,Y
Male,No,0,Graduate,No,4166,0.0,98,360,0,Semiurban,N
Male,No,0,Graduate,No,6000,0.0,140,360,1,Rural,Y
Male,Yes,3+,Not Graduate,No,2947,1664.0,70,180,0,Urban,N
Male,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,N
Male,Yes,1,Graduate,Yes,3450,2079.0,162,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,2653,1500.0,113,180,0,Rural,N
Male,Yes,3+,Graduate,No,4691,0.0,100,360,1,Semiurban,Y
Male,No,2,Graduate,No,5532,4648.0,162,360,1,Rural,Y
Male,Yes,2,Graduate,Yes,16525,1014.0,150,360,1,Rural,Y
Male,Yes,2,Graduate,No,6700,1750.0,230,300,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,16667,2250.0,86,360,1,Semiurban,Y
Female,No,0,Not Graduate,No,4350,0.0,154,360,1,Rural,Y
