Administrative,Administrative_Duration,Informational_Duration,ProductRelated,ProductRelated_Duration,PageValues,Region,VisitorType
0,0,0,2,52,0,1,Returning_Visitor
0,0,0,13,649.25,0,1,New_Visitor
0,0,0,27,925.3333333,0,3,Returning_Visitor
0,0,0,2,33,0,1,Returning_Visitor
0,0,0,6,1566.5,0,1,Returning_Visitor
0,0,0,4,105,0,1,Returning_Visitor
0,0,0,7,50,0,1,Returning_Visitor
0,0,0,16,644.2,0,3,Returning_Visitor
3,18.33333333,0,38,2635.177778,0,1,Returning_Visitor
0,0,0,6,415,0,3,Returning_Visitor
2,31,16,36,2083.530952,0,4,Returning_Visitor
3,58.5,0,17,281.6666667,0,3,Returning_Visitor
0,0,0,9,215,0,1,Returning_Visitor
0,0,0,12,162,0,1,Returning_Visitor
0,0,0,2,114,0,1,Returning_Visitor
0,0,0,4,253,0,3,Returning_Visitor
0,0,0,4,0,0,1,Returning_Visitor
0,0,0,1,0,0,2,Returning_Visitor
2,22,0,25,436.5,0,1,Returning_Visitor
0,0,93,30,1045.833333,0,1,Returning_Visitor
0,0,0,12,317.8333333,0,1,Returning_Visitor
0,0,0,21,1146.333333,0,1,Returning_Visitor
0,0,0,11,577,0,3,Returning_Visitor
0,0,0,8,95,0,3,Returning_Visitor
0,0,0,6,243,0,4,Returning_Visitor
0,0,0,4,135.5,0,1,Returning_Visitor
0,0,75,14,442.3333333,0,3,Returning_Visitor
0,0,0,3,41,0,3,Returning_Visitor
0,0,0,11,292.9,0,3,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,9,1238.333333,0,1,Returning_Visitor
0,0,0,3,13,0,1,Returning_Visitor
0,0,0,2,222,0,1,Returning_Visitor
2,20,0,16,214.8333333,0,1,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,6,2017.166667,0,4,Returning_Visitor
6,111.5,0,26,449.0277778,0,3,Returning_Visitor
0,0,0,6,158.1666667,0,4,Returning_Visitor
0,0,0,3,25,0,1,Returning_Visitor
0,0,0,2,42,0,1,Returning_Visitor
4,103.625,0,14,1003.416667,0,3,Returning_Visitor
3,19,0,8,344,0,2,Returning_Visitor
0,0,0,1,0,0,2,Returning_Visitor
0,0,19,10,852,0,3,Returning_Visitor
0,0,0,3,780,0,1,Returning_Visitor
0,0,0,3,1038,0,1,Returning_Visitor
0,0,0,4,573,0,3,Returning_Visitor
0,0,0,28,1231.233333,0,4,Returning_Visitor
0,0,0,11,316.6666667,0,2,Returning_Visitor
0,0,0,20,873.7365079,0,1,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,19,615,0,3,Returning_Visitor
0,0,0,9,261.75,0,1,Returning_Visitor
0,0,0,21,615.8831169,0,2,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,6,117.5,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,23,501.6666667,0,4,Returning_Visitor
2,58,22,31,829.1666667,0,1,Returning_Visitor
1,9.5,0,23,1223,0,1,Returning_Visitor
0,0,0,6,467,0,3,Returning_Visitor
0,0,0,23,737.1666667,0,1,Returning_Visitor
0,0,0,12,129,0,3,Returning_Visitor
0,0,0,5,63,0,1,Returning_Visitor
0,0,0,5,125,0,1,Returning_Visitor
1,0,0,15,487.5,0,2,Returning_Visitor
0,0,0,17,437.1666667,0,1,Returning_Visitor
0,0,0,3,55,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
3,87,0,10,320.5,0,2,Returning_Visitor
1,0,0,21,405.7095238,0,1,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,8,260,0,1,Returning_Visitor
0,0,0,20,927.45,8.000740741,3,Returning_Visitor
2,9,0,50,836.8,0,3,Returning_Visitor
0,0,0,2,0,0,1,Returning_Visitor
3,52,0,9,319,0,1,Returning_Visitor
0,0,0,3,42,0,3,Returning_Visitor
0,0,0,5,43,0,1,Returning_Visitor
5,218,0,13,284.5,0,1,New_Visitor
0,0,0,3,133.5,0,1,Returning_Visitor
1,119,0,12,297.6666667,0,1,Returning_Visitor
0,0,0,8,731,0,1,Returning_Visitor
2,49,127,4,188,0,3,Returning_Visitor
0,0,0,14,565.3333333,0,3,Returning_Visitor
0,0,0,35,1192.386111,0,2,Returning_Visitor
0,0,0,12,198,0,3,Returning_Visitor
0,0,0,3,15,0,3,Returning_Visitor
0,0,0,5,23,0,1,Returning_Visitor
0,0,0,4,14,0,1,Returning_Visitor
1,54,0,6,210.5,0,1,New_Visitor
1,993,0,28,1529.30467,0,4,Returning_Visitor
0,0,0,2,19,0,3,Returning_Visitor
5,74.25,84,37,1599.083333,0,4,Returning_Visitor
0,0,0,9,102.5,0,1,Returning_Visitor
0,0,0,16,2337,17.76266667,1,Returning_Visitor
0,0,0,19,1883.5,0,1,Returning_Visitor
6,666.8333333,0,22,1674.583333,0,3,Returning_Visitor
0,0,0,9,132,0,1,Returning_Visitor
2,154,0,18,367.25,0,2,Returning_Visitor
3,118.5,0,29,1482.210784,0,1,Returning_Visitor
6,153.5,0,34,1048.492063,0,1,Returning_Visitor
0,0,0,9,478,0,2,Returning_Visitor
0,0,0,16,980.25,0,4,Returning_Visitor
8,72.25,21.5,51,1124.693074,0,2,Returning_Visitor
2,24.5,0,22,353.1666667,0,1,Returning_Visitor
0,0,0,7,753,0,1,Returning_Visitor
0,0,0,31,688.1666667,0,1,Returning_Visitor
1,22,0,9,415.25,0,1,Returning_Visitor
0,0,0,2,0,0,1,Returning_Visitor
0,0,0,5,57,0,2,Returning_Visitor
4,96.5,0,19,1430.659091,0,1,Returning_Visitor
1,13,0,2,20,0,3,Returning_Visitor
0,0,0,45,844.25,0,3,Returning_Visitor
0,0,0,7,188,0,1,New_Visitor
1,158,64,29,1916.761905,8.772473118,3,Returning_Visitor
0,0,0,9,116.3333333,0,1,Returning_Visitor
0,0,0,5,74,0,1,Returning_Visitor
0,0,0,15,1559.6,0,1,Returning_Visitor
0,0,0,6,236.5,0,1,Returning_Visitor
1,10,0,14,348.6666667,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
1,28,47,13,224.5,0,1,New_Visitor
4,27,0,42,601.7666667,0,3,Returning_Visitor
0,0,0,5,75.5,0,2,Returning_Visitor
0,0,0,5,1162.5,0,2,Returning_Visitor
0,0,0,32,556.6,0,3,Returning_Visitor
0,0,0,3,41,0,1,Returning_Visitor
0,0,0,6,69.25,0,4,Returning_Visitor
0,0,0,8,402,0,2,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,4,59,0,1,Returning_Visitor
2,20,0,7,720,0,3,Returning_Visitor
0,0,0,40,905.4856061,0,2,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,33,778.8166667,0,1,Returning_Visitor
4,171.25,0,22,851.5595238,0,1,Returning_Visitor
0,0,0,3,227.5,0,1,Returning_Visitor
5,227.3333333,0,17,528.9,0,1,Returning_Visitor
0,0,0,15,872.8333333,0,2,Returning_Visitor
0,0,0,2,0,0,3,Returning_Visitor
0,0,0,4,82.5,0,1,Returning_Visitor
0,0,0,1,13,0,3,Returning_Visitor
0,0,0,2,9,0,1,Returning_Visitor
0,0,0,2,7,0,1,Returning_Visitor
0,0,0,12,94.5,0,4,Returning_Visitor
5,86,0,23,267.3,0,4,Returning_Visitor
0,0,0,3,75,0,1,Returning_Visitor
2,7,0,10,75,0,1,Returning_Visitor
0,0,24,27,1547.5,0,1,Returning_Visitor
0,0,0,2,96,0,1,Returning_Visitor
2,374,0,3,1370,0,1,Returning_Visitor
2,61,0,5,97,0,1,Returning_Visitor
1,14,0,46,1380.166667,0,1,Returning_Visitor
0,0,0,5,156,0,4,Returning_Visitor
2,96,0,37,1238.5,0,1,New_Visitor
4,111,0,4,54,0,1,Returning_Visitor
2,147,0,2,35,0,1,New_Visitor
0,0,0,15,175.9166667,0,1,Returning_Visitor
3,53.16666667,0,11,263.6,0,1,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
3,48.5,0,55,1042.242857,0,1,New_Visitor
1,21,116,21,613.6666667,0,1,Returning_Visitor
4,115.3333333,0,64,1588.944444,0,1,Returning_Visitor
1,8,0,14,269.5,0,3,Returning_Visitor
1,32.28571429,0,8,1236.2,0,1,Returning_Visitor
0,0,0,49,1384.016667,0,1,Returning_Visitor
0,0,0,4,52,0,1,Returning_Visitor
1,11,0,29,664.75,0,1,Returning_Visitor
0,0,0,7,64,0,1,Returning_Visitor
0,0,0,1,0,0,4,Returning_Visitor
0,0,0,8,326.5,0,1,Returning_Visitor
4,277.75,0,3,178.75,0,3,New_Visitor
0,0,0,12,407,0,4,Returning_Visitor
6,241.1666667,0,39,1513.566667,0,1,Returning_Visitor
3,64,0,24,832.0909091,0,1,New_Visitor
1,25.5,0,12,250.8333333,0,2,Returning_Visitor
2,64,0,15,565.6666667,0,1,New_Visitor
8,130,18,19,298,19.66818546,3,Returning_Visitor
3,84,0,27,655.9166667,0,2,Returning_Visitor
0,0,9,30,1992.833333,9.227000967,1,Returning_Visitor
0,0,0,3,0,0,4,Returning_Visitor
0,0,0,24,308.8635531,0,2,Returning_Visitor
3,41,0,46,2749.666667,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,25,812,0,1,Returning_Visitor
0,0,0,12,166,0,1,Returning_Visitor
1,14,0,4,65,0,3,Returning_Visitor
4,86,0,46,2450.688095,0,3,Returning_Visitor
0,0,0,10,226.8333333,0,1,Returning_Visitor
0,0,0,13,226,0,4,Returning_Visitor
5,51.5,0,2,6,0,2,Returning_Visitor
2,7,0,27,559.4,0,4,Returning_Visitor
8,269,0,33,1109.883333,0,4,Returning_Visitor
2,44.5,0,7,212.1666667,0,1,New_Visitor
0,0,0,6,44,0,3,Returning_Visitor
0,0,0,8,781,0,4,Returning_Visitor
3,90,0,25,397.8846154,0,1,Returning_Visitor
2,102.5,60,22,1034.975,16.14384,4,Returning_Visitor
0,0,0,3,8,0,1,Returning_Visitor
0,0,0,1,0,0,2,Returning_Visitor
0,0,0,2,254,0,4,Returning_Visitor
0,0,0,7,67,0,1,Returning_Visitor
0,0,0,12,240.4166667,0,1,Returning_Visitor
0,0,0,8,551.1666667,0,2,Returning_Visitor
1,6,0,14,548.1857143,0,3,Returning_Visitor
3,304,0,31,1735.301587,0,2,Returning_Visitor
0,0,0,3,103,0,1,Returning_Visitor
7,151,0,44,1406.1,0,4,Returning_Visitor
3,199.75,0,8,331.4,0,2,New_Visitor
1,13.5,28,88,1759.275703,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,10,236,0,1,Returning_Visitor
4,312.75,0,14,702.9166667,0,1,New_Visitor
4,724,0,2,159,0,1,New_Visitor
0,0,0,2,24,0,1,Returning_Visitor
4,174,18.5,11,305.875,0,3,New_Visitor
3,227,0,2,62,0,1,Returning_Visitor
0,0,0,29,617.5,0,3,Returning_Visitor
0,0,39,15,245,11.9955404,1,Returning_Visitor
0,0,0,3,20,0,2,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
1,26,0,55,872.4,0,1,Returning_Visitor
0,0,0,1,0,0,2,Returning_Visitor
0,0,0,38,1372,0,1,Returning_Visitor
0,0,0,5,288.5,0,1,Returning_Visitor
0,0,0,2,0,0,1,Returning_Visitor
0,0,0,6,192,0,4,Returning_Visitor
0,0,0,27,954.6666667,0,1,Returning_Visitor
0,0,0,1,0,0,4,Returning_Visitor
2,74,0,13,429,0,3,Returning_Visitor
0,0,0,41,1546.5,0,1,Returning_Visitor
2,45,0,9,96.46666667,0,3,Returning_Visitor
2,112,0,9,198.8333333,0,3,New_Visitor
0,0,0,8,181,0,1,Returning_Visitor
2,37,0,15,208.5,0,3,New_Visitor
0,0,0,21,517.4238095,0,2,Returning_Visitor
0,0,0,12,358.0666667,0,2,Returning_Visitor
1,5.5,0,22,339.25,0,2,Returning_Visitor
0,0,0,31,1759.416667,0,4,Returning_Visitor
0,0,0,13,265.1666667,0,4,Returning_Visitor
5,113.5,0,13,437.2,0,4,New_Visitor
0,0,0,6,92,0,3,Returning_Visitor
3,279,0,0,0,0,1,Returning_Visitor
6,112.5,0,47,1882.113409,17.527656,4,Returning_Visitor
1,17,0,12,616.4,0,3,Returning_Visitor
0,0,0,5,155,0,1,Returning_Visitor
0,0,0,11,814.5,0,1,New_Visitor
0,0,0,5,819.5,0,1,Returning_Visitor
1,8.5,0,30,659.2,0,3,New_Visitor
0,0,0,5,427,0,3,Returning_Visitor
0,0,0,1,0,0,4,Returning_Visitor
0,0,0,14,2425,0,1,Returning_Visitor
7,319.5,0,11,416.5,0,1,New_Visitor
0,0,0,15,638.6428571,0,1,Returning_Visitor
0,0,0,4,81,0,3,Returning_Visitor
0,0,0,20,1985,0,1,Returning_Visitor
5,97.5,0,24,758.1444444,0,2,Returning_Visitor
7,182.0833333,0,15,310.9,0,4,Returning_Visitor
0,0,0,2,0,0,1,Returning_Visitor
3,34.83333333,0,30,709.8333333,0,2,Returning_Visitor
0,0,0,9,1040,0,3,Returning_Visitor
0,0,14,11,687.5,0,1,Returning_Visitor
0,0,0,30,632.5833333,0,1,Returning_Visitor
1,77,0,9,312,0,3,New_Visitor
3,107,0,45,2502.966667,9.702113281,1,New_Visitor
13,315.9666667,0,15,406.575,0,3,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
1,0,0,39,2487.5,0,1,Returning_Visitor
0,0,0,15,212.8,0,3,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,13,96.5,0,4,Returning_Visitor
0,0,0,8,267,0,3,Returning_Visitor
0,0,0,7,289.5,0,1,Returning_Visitor
0,0,0,1,10,0,3,Returning_Visitor
0,0,0,16,676.75,0,1,Returning_Visitor
2,25,0,6,65,0,1,New_Visitor
0,0,0,16,630.75,0,1,Returning_Visitor
0,0,0,5,77,0,1,Returning_Visitor
0,0,0,10,322.5,0,4,Returning_Visitor
0,0,0,11,919,0,2,Returning_Visitor
4,100.3,0,66,2868.133333,9.162351243,1,Returning_Visitor
1,23,0,27,1058.893939,1.865777778,3,Returning_Visitor
2,8,0,11,543.5,0,3,Returning_Visitor
0,0,0,29,1089,0,1,Returning_Visitor
1,0,60,43,1131.808333,0,1,Returning_Visitor
0,0,0,7,314.5,0,3,Returning_Visitor
6,573.5,0,33,1946.942857,0,3,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
6,465.8333333,71,26,1558,7.169617487,1,Returning_Visitor
0,0,0,1,0,0,4,Returning_Visitor
0,0,0,17,927.1666667,0,2,Returning_Visitor
9,97.64285714,0,37,584.5958874,0,1,Returning_Visitor
0,0,0,4,135.5,0,3,Returning_Visitor
3,148,0,8,292.5,0,1,Returning_Visitor
0,0,0,2,68.5,0,1,Returning_Visitor
3,58,0,23,364.1666667,0,1,Returning_Visitor
0,0,0,26,694.3,0,2,Returning_Visitor
1,3,0,3,236,0,1,Returning_Visitor
4,97.61111111,0,24,1128.468254,0,3,Returning_Visitor
0,0,0,9,104.8333333,0,4,Returning_Visitor
1,7,0,4,45,0,3,Returning_Visitor
2,37.5,0,2,492.5,0,1,Returning_Visitor
1,3,0,40,624.75,0,3,Returning_Visitor
0,0,0,6,116.5,0,2,Returning_Visitor
2,22.5,0,28,686.3222222,0,3,Returning_Visitor
0,0,0,7,126,0,2,Returning_Visitor
0,0,0,6,185,0,1,Returning_Visitor
0,0,0,6,218,0,3,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
2,38,0,21,733.7,0,1,Returning_Visitor
0,0,0,3,19,0,1,Returning_Visitor
6,99.33333333,28.5,5,345.5,0,3,New_Visitor
3,117,0,20,543.8,0,1,New_Visitor
0,0,0,3,48,0,1,Returning_Visitor
2,16.66666667,0,22,343.3690476,0,1,Returning_Visitor
0,0,0,9,171,0,4,Returning_Visitor
12,81.5,0,61,2202.579167,0,1,Returning_Visitor
0,0,0,11,299.5,0,3,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,90,11,1056.5,0,1,Returning_Visitor
4,38.5,0,33,583.8333333,0,4,Returning_Visitor
0,0,0,7,221.5,0,1,Returning_Visitor
0,0,0,44,441.7916667,0,1,Returning_Visitor
3,15,0,11,246,0,1,Returning_Visitor
0,0,0,80,801.802381,0,3,Returning_Visitor
1,19,0,40,1361.166667,0,2,Returning_Visitor
0,0,0,5,53,0,2,Returning_Visitor
1,7,0,17,2648.5,0,1,Returning_Visitor
0,0,0,3,27,0,1,Returning_Visitor
0,0,0,13,255,0,1,Returning_Visitor
0,0,0,2,221.5,0,3,Returning_Visitor
0,0,0,7,225,0,4,Returning_Visitor
0,0,0,7,125,0,1,Returning_Visitor
0,0,0,12,323,0,1,Returning_Visitor
0,0,0,5,116,0,1,Returning_Visitor
6,145,0,13,644,0,1,New_Visitor
0,0,15,25,1235.65,0,1,Returning_Visitor
1,43,0,37,1505.166667,0,4,New_Visitor
0,0,0,7,495,0,3,Returning_Visitor
4,84,0,21,270,0,3,Returning_Visitor
0,0,0,2,0,0,1,Returning_Visitor
4,120,0,13,293,0,1,Returning_Visitor
0,0,0,51,2122.656061,9.294775641,1,Returning_Visitor
0,0,0,35,1231.160256,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,21,1686.333333,0,2,Returning_Visitor
1,0,0,34,2161.979365,0,1,Returning_Visitor
0,0,0,1,13,0,3,Returning_Visitor
0,0,0,11,253,0,2,Returning_Visitor
1,18.5,0,12,208,0,4,Returning_Visitor
6,99.60588235,0,83,2585.61835,6.871308983,2,Returning_Visitor
3,63,0,13,400.3333333,0,3,Returning_Visitor
0,0,0,4,505,0,1,Returning_Visitor
3,68.5,0,37,1121.205556,0,1,Returning_Visitor
1,135,0,2,141,0,1,Returning_Visitor
0,0,0,3,234,0,1,Returning_Visitor
4,76,0,39,1936.55,5.51397619,3,Returning_Visitor
0,0,0,11,125,0,1,Returning_Visitor
8,174.5,0,10,195.5,0,3,Returning_Visitor
1,40,0,27,1400.5,0,4,Returning_Visitor
8,201.1666667,41,18,914.1666667,0,1,Returning_Visitor
4,56,0,31,270.4916667,0,1,Returning_Visitor
3,92.83333333,0,24,463.8166667,17.84230699,1,Returning_Visitor
0,0,0,6,13,0,1,Returning_Visitor
2,102,0,16,502.8333333,0,4,Returning_Visitor
1,11,0,16,253,0,1,New_Visitor
0,0,126,17,887.0666667,0,1,Returning_Visitor
3,187,41,48,1769.697383,16.71534488,3,Returning_Visitor
0,0,0,14,1037.5,0,4,Returning_Visitor
0,0,0,37,1643.435516,2.188718519,3,Returning_Visitor
0,0,0,4,34,0,3,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
3,86,0,22,1187.833333,0,3,Returning_Visitor
0,0,0,18,771.0833333,0,3,Returning_Visitor
0,0,0,15,695.4,0,2,Returning_Visitor
2,15,0,3,21,0,4,Returning_Visitor
2,34,0,81,2241.002381,0,1,Returning_Visitor
0,0,0,2,5,0,1,Returning_Visitor
0,0,0,2,63,0,1,Returning_Visitor
2,47,0,21,825.0833333,10.7929507,2,New_Visitor
0,0,0,54,1357.61783,0,2,Returning_Visitor
5,44.5,4,37,836.3333333,0,4,Returning_Visitor
6,125.5,0,19,1409.416667,0,3,Returning_Visitor
0,0,0,10,60.5,0,3,Returning_Visitor
0,0,0,2,0,0,1,Returning_Visitor
0,0,0,9,389,0,3,Returning_Visitor
2,95,0,15,449.5,0,4,Returning_Visitor
4,56.5,0,8,202.1666667,0,1,New_Visitor
0,0,0,12,689.2857143,0,3,Returning_Visitor
0,0,0,17,933.4166667,0,1,Returning_Visitor
2,20.5,0,21,719.7380952,0,1,Returning_Visitor
0,0,0,2,56,0,1,Returning_Visitor
3,11.33333333,0,20,302.3888889,0,1,Returning_Visitor
0,0,0,19,491.6666667,0,1,Returning_Visitor
2,25,0,20,667.9166667,18.5847619,1,Returning_Visitor
2,20,0,13,181.5,0,1,Returning_Visitor
1,19.66666667,0,14,512.1111111,0,3,Returning_Visitor
1,13,0,15,317,0,1,New_Visitor
0,0,0,8,128.5,0,1,Returning_Visitor
2,45.44444444,40.66666667,57,851.6426534,3.077836066,3,Returning_Visitor
3,31,0,58,1400.438961,0,1,Returning_Visitor
0,0,0,12,167.2222222,0,1,Returning_Visitor
0,0,0,12,396.5,0,3,Returning_Visitor
0,0,0,2,22,0,3,Returning_Visitor
0,0,0,5,371,0,4,Returning_Visitor
0,0,0,4,30.5,0,3,Returning_Visitor
0,0,0,27,644,0,2,Returning_Visitor
8,125.1666667,0,27,1802.25,0,1,Returning_Visitor
2,13,0,23,855.1666667,0,1,Returning_Visitor
3,49.5,29.5,45,1545.5,20.97144,3,Returning_Visitor
8,466.5,75.25,44,1616.425824,0,4,Returning_Visitor
0,0,0,8,332,0,1,New_Visitor
0,0,0,1,40,0,1,Returning_Visitor
6,96.85714286,0,28,672.5452381,19.71468924,2,Returning_Visitor
0,0,0,6,551,0,3,Returning_Visitor
0,0,0,10,203,0,2,Returning_Visitor
7,156.5,122,26,694.7121212,0,1,Returning_Visitor
5,58,0,10,657.2619048,0,2,New_Visitor
0,0,0,7,974.6666667,0,1,Returning_Visitor
1,43,0,43,1223.347222,0,3,Returning_Visitor
0,0,0,10,276,0,3,Returning_Visitor
0,0,0,7,223,0,1,Returning_Visitor
0,0,0,3,261,0,1,Returning_Visitor
0,0,0,21,1372.7,0,3,Returning_Visitor
2,306,0,14,964.5,0,4,Returning_Visitor
3,72,0,38,461.5,0,3,Returning_Visitor
0,0,0,4,41,0,2,Returning_Visitor
0,0,0,1,0,0,3,Returning_Visitor
0,0,0,7,39.25,0,1,Returning_Visitor
0,0,0,1,0,0,2,Returning_Visitor
1,39,0,15,787,0,1,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,15,1148,0,1,Returning_Visitor
2,41.5,60.5,21,534.5,0,2,Returning_Visitor
0,0,0,14,875,0,1,Returning_Visitor
2,123,0,7,873,0,2,Returning_Visitor
0,0,0,3,14,0,3,Returning_Visitor
1,22,0,52,1551.666667,7.882377258,3,Returning_Visitor
2,95.5,0,13,334.5,0,1,New_Visitor
0,0,0,38,667.1666667,0,4,Returning_Visitor
1,0,0,41,1202.904762,0,2,Returning_Visitor
0,0,0,3,0,0,2,Returning_Visitor
0,0,0,9,211,0,3,Returning_Visitor
3,125,70,29,705.4,0,1,Returning_Visitor
3,12,24,3,5.333333333,0,1,Returning_Visitor
1,10.5,0,7,525,0,4,Returning_Visitor
0,0,0,13,635.3333333,0,4,Returning_Visitor
3,99,0,37,2419.133333,0,3,Returning_Visitor
7,159.5,0,14,249,0,3,Returning_Visitor
1,5,0,13,271,0,2,New_Visitor
5,206,0,15,650.6961927,0,1,New_Visitor
0,0,0,16,600.75,0,2,Returning_Visitor
2,44,0,26,1636.016667,0,1,Returning_Visitor
0,0,0,16,519.75,0,3,Returning_Visitor
0,0,0,1,0,0,1,Returning_Visitor
0,0,0,11,673,0,1,Returning_Visitor
0,0,0,4,173.5,0,4,Returning_Visitor
0,0,0,16,156.5333333,0,1,Returning_Visitor
0,0,0,21,574.5333333,0,3,Returning_Visitor
2,62.5,0,17,548.3333333,0,1,Returning_Visitor
2,48,0,51,1671.375,0,1,Returning_Visitor
0,0,0,11,1390.166667,0,1,Returning_Visitor
7,159.3333333,0,24,520.6666667,0,4,New_Visitor
0,0,0,1,0,0,4,Returning_Visitor
2,32.5,0,19,423.8166667,0,1,Returning_Visitor
0,0,30,11,1114.916667,0,1,Returning_Visitor
0,0,0,29,438.8666667,0,3,Returning_Visitor
3,16.33333333,0,23,505.5833333,9.15008,1,Returning_Visitor
0,0,0,7,203.5,0,1,New_Visitor
4,130,0,28,818.7916667,0,1,New_Visitor
4,15,17,17,490,15.66445171,4,Returning_Visitor
